country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence
Afghanistan,AFG,Asia,40578847.0,235214.0,5796.4683,7998.0,197.09776,47.19545,45.270844,6.727495,27.3945802919708,16.75200080871582,1983.8126220703125,0.3499999940395355,65.61699676513672,11.699999809265137
Albania,ALB,Europe,2827614.0,337234.0,119264.51,3608.0,1275.9874,47.717087,45.24426,14.230054,41.78210766423358,35.94300079345703,21641.07421875,2.900000095367432,78.768798828125,10.600000381469728
Algeria,DZA,Africa,45477391.0,272440.0,5990.669,6881.0,151.30595,17.239624,14.251447,1.2657961,48.36772810218978,27.982999801635746,15501.919921875,1.6100000143051147,76.12889862060547,17.5
American Samoa,ASM,Oceania,48365.0,8359.0,172831.6,34.0,702.9877,,,,,27.927000045776367,,,72.7520980834961,
Andorra,AND,Europe,79722.0,48015.0,602280.44,159.0,1994.4307,72.643684,67.10946,54.026493,33.4867700729927,42.83200073242188,65928.3046875,,84.01640319824219,10.100000381469728
Angola,AGO,Africa,35635028.0,107487.0,3016.3298,1937.0,54.35663,46.44487,26.965265,8.606956,51.621733576642335,16.389999389648438,8901.8876953125,0.75,64.24549865722656,4.900000095367432
Anguilla,AIA,North America,14202.0,3904.0,274890.88,12.0,844.9514,76.45402,73.10238,23.299536,,37.77299880981445,,,79.11940002441406,
Antigua and Barbuda,ATG,North America,92850.0,9106.0,98072.16,146.0,1572.4286,69.24071,67.187935,10.595584,,35.071998596191406,29371.638671875,3.4200000762939453,77.4832992553711,11.600000381469728
Argentina,ARG,South America,45407904.0,10119347.0,222854.31,130846.0,2881.5688,91.45777,76.860214,83.05403,52.42909671532847,31.73900032043457,26771.96484375,3.359999895095825,75.80609893798828,14.0
Armenia,ARM,Asia,2880880.0,454900.0,157903.14,8785.0,3049.4155,39.95012,35.779274,2.8239288,,35.814998626708984,20078.78515625,4.239999771118164,74.63330078125,7.699999809265137
Aruba,ABW,North America,107792.0,44224.0,410271.62,292.0,2708.921,84.00067,78.26926,,38.25028284671533,40.766998291015625,44558.9296875,,76.22579956054688,4.599999904632568
Australia,AUS,Oceania,26200987.0,11861161.0,452699.0,25236.0,963.1698,84.85075,82.62102,75.53329,47.19702554744526,37.512001037597656,60303.98046875,3.819999933242798,82.76619720458984,7.400000095367432
Austria,AUT,Europe,9064678.0,6083790.0,671153.44,22534.0,2485.9128,76.11823,73.72863,59.637707,49.143120437956206,42.83200073242188,63788.078125,6.699999809265137,81.2958984375,5.400000095367432
Azerbaijan,AZE,Asia,10295307.0,836510.0,81251.586,10353.0,1005.6038,52.191284,47.230198,32.660057,59.99155109489052,32.0620002746582,22072.1484375,3.680000066757202,74.125,10.199999809265137
Bahamas,BHS,North America,397542.0,39127.0,98422.305,849.0,2135.6233,43.972713,42.0011,9.2983885,52.295,34.23400115966797,36244.05078125,2.1700000762939453,74.49109649658203,8.899999618530273
Bahrain,BHR,Asia,1533460.0,696614.0,454275.94,1536.0,1001.6564,80.939445,80.00182,65.77694,37.79302919708029,31.683000564575195,58891.83203125,1.840000033378601,80.99210357666016,22.100000381469727
Bangladesh,BGD,Asia,169384891.0,2052280.0,12116.075,29531.0,174.34259,89.4455,83.95181,40.508484,49.97339416058394,24.989999771118164,8486.78515625,0.9200000166893004,74.26470184326172,13.199999809265137
Barbados,BRB,North America,282324.0,109142.0,386584.22,593.0,2100.4236,58.03722,54.91811,22.260948,47.84323905109489,38.652000427246094,21837.724609375,6.400000095367432,75.67610168457031,13.199999809265137
Belarus,BLR,Europe,9173240.0,994102.0,108369.78,7118.0,775.95264,71.255,69.931625,62.403503,23.35875912408759,40.19200134277344,29040.97265625,9.770000457763672,74.36119842529297,5.099999904632568
Belgium,BEL,Europe,11641814.0,4908203.0,421601.22,34339.0,2949.6262,79.55496,78.77591,116.44681,39.04728102189781,41.1510009765625,63347.78515625,5.420000076293945,81.15889739990234,5.900000095367432
Belize,BLZ,North America,402741.0,71493.0,177516.08,688.0,1708.294,64.17847,54.992664,13.208985,48.01630474452555,25.520999908447266,12621.408203125,1.0,72.19039916992188,14.100000381469728
