iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
ABW,Aruba,598.333333333333,,
AFE,Africa Eastern and Southern,48.0354728061518,92.3503331753643,5.94259456421002
AFG,Afghanistan,61.3286907992579,81.52112579,21.50844383
AFW,Africa Western and Central,53.7180180179184,72.6328495675799,4.13562161186507
AGO,Angola,27.6990687414775,66.94487,2.73987103
ALB,Albania,90.8672262773723,465.57043457,7.35750389
AND,Andorra,166.731914893617,3668.44750977,8.64671707
ARB,Arab World,35.1623623846891,336.587194733694,5.25928586762619
ARE,United Arab Emirates,134.823317375387,2249.96313477,5.30494308
ARG,Argentina,16.5573305708721,1182.15930176,11.00910187
ARM,Armenia,105.056940272915,595.83544922,12.32268524
ASM,American Samoa,246.125,,
ATG,Antigua and Barbuda,209.884090909091,835.06512451,4.81315422
AUS,Australia,3.33922844714392,7092.13476563,10.51612186
AUT,Austria,108.528805138148,6554.14257813,12.185215
AZE,Azerbaijan,122.658802177858,250.9887085,4.68526697
BDI,Burundi,504.886331775701,23.11420059,8.94190311
BEL,Belgium,379.949990161999,5847.17333984,11.28825092
BEN,Benin,118.955454061724,38.45053101,2.91589761
BFA,Burkina Faso,80.3919700292398,63.59171295,7.08691931
BGD,Bangladesh,1287.99918568026,56.09640121,2.26678729
BGR,Bulgaria,59.9419767870302,1109.10290527,8.58048916
BHR,Bahrain,1904.25949367089,1176.92102051,4.32771444
BHS,"Bahamas, The",39.5977022977023,1946.21960449,6.78537178
BIH,Bosnia and Herzegovina,63.37708984375,697.07427979,9.55514336
BLR,Belarus,45.8368317319537,484.03930664,6.56549978
BLZ,Belize,17.3321350284963,308.93920898,5.04598379
BMU,Bermuda,1197.18518518519,,
BOL,Bolivia,11.0194405981723,276.20880127,8.16016769
BRA,Brazil,25.0714027283582,768.27075195,9.63646507
BRB,Barbados,656.155813953488,1391.49853516,7.4427762
BRN,Brunei Darussalam,85.715559772296,665.87030029,2.14748693
BTN,Bhutan,20.3314630309386,161.46617126,4.78581429
BWA,Botswana,4.23736347114146,492.14276123,6.30315065
CAF,Central African Republic,8.20588140871296,46.25038147,9.15097523
CAN,Canada,4.351026204103,6511.46972656,12.38106632
CEB,Central Europe and the Baltics,90.6877587931935,1412.78214453503,7.35977235601732
